,Unnamed: 0,original_datarow,Species,Quantity,Price,Currency,Price_euro,Intent,Seller_id,lat,lon,Conservation status,CITES
73,100,45963,Anolis roquet,[],[],[],[],Seller,48,[],[],LC,0
74,101,45964,Anolis roquet,[],[],[],[],Seller,37,51.1638175,10.4478313,LC,0
75,102,45966,Anolis roquet,[],[],[],[],Buyer,49,51.1638175,10.4478313,LC,0
76,103,45969,Anolis oculatus,[],[],[],[],Buyer,44,51.1638175,10.4478313,NT,0
77,104,45970,Anolis trinitatis,[],[],[],[],Buyer,50,[],[],LC,0
78,107,45979,Anolis roquet,[],[],[],[],Seller,42,51.1638175,10.4478313,LC,0
79,110,45985,Anolis oculatus,[],[],[],[],Seller,10,51.1638175,10.4478313,NT,0
80,112,45985,Anolis roquet,[],[],[],[],Seller,10,51.1638175,10.4478313,LC,0
81,113,45997,Anolis oculatus,[],[],[],[],Buyer,19,51.1638175,10.4478313,NT,0
82,115,45999,Anolis marmoratus,[],[],[],[],Seller,35,[],[],LC,0
83,118,46008,Anolis roquet,[],[],[],[],[],51,[],[],LC,0
84,119,46009,Anolis roquet,[],[],[],[],Seller,52,[],[],LC,0
85,120,46018,Anolis oculatus,[],[],[],[],Buyer,53,51.1638175,10.4478313,NT,0
86,121,46022,Anolis roquet,[],[],[],[],Buyer,54,51.1638175,10.4478313,LC,0
87,122,46027,Anolis roquet,[],[],[],[],Seller,55,51.1638175,10.4478313,LC,0
88,125,46044,Anolis sabanus,[],[],[],[],Seller,57,[],[],NT,0
89,126,46046,Anolis sabanus,[],[],[],[],Seller,58,[],[],NT,0
90,127,46049,Anolis sabanus,[],[],[],[],Buyer,44,51.1638175,10.4478313,NT,0
91,128,46056,Anolis oculatus,[],[],[],[],Buyer,40,[],[],NT,0
92,129,46056,Anolis sabanus,[],[],[],[],Buyer,40,[],[],NT,0
93,130,46057,Anolis roquet,[],[],[],[],Seller,11,[],[],LC,0
94,131,46058,Anolis oculatus,[],[],[],[],Buyer,59,[],[],NT,0
95,132,46059,Anolis oculatus,[],[],[],[],Seller,59,[],[],NT,0
96,134,46072,Anolis oculatus,[],[],[],[],Buyer,60,51.1638175,10.4478313,NT,0
97,135,46072,Anolis marmoratus,[],[],[],[],Buyer,60,51.1638175,10.4478313,LC,0
98,136,46072,Anolis roquet,[],[],[],[],Buyer,60,51.1638175,10.4478313,LC,0
99,137,46072,Anolis trinitatis,[],[],[],[],Buyer,60,51.1638175,10.4478313,LC,0
100,138,46075,Anolis extremus,[],[],[],[],Seller,61,[],[],LC,0
101,139,46075,Anolis marmoratus,[],[],[],[],Seller,61,[],[],LC,0
102,140,46075,Anolis roquet,[],[],[],[],Seller,61,[],[],LC,0
103,142,46077,Anolis roquet,[],[],[],[],Seller,62,51.1638175,10.4478313,LC,0
104,147,46092,Anolis sabanus,[],[],[],[],Seller,10,[],[],NT,0
105,148,46093,Anolis trinitatis,[],[],[],[],Seller,64,[],[],LC,0
106,150,46112,Anolis oculatus,[],[],[],[],Seller,59,51.1638175,10.4478313,NT,0
107,151,46120,Anolis bimaculatus,[],[],[],[],Buyer,59,[],[],LC,0
108,152,46124,Anolis roquet,[],[],[],[],[],65,[],[],LC,0
109,153,46125,Anolis roquet,[],[],[],[],Buyer,66,[],[],LC,0
110,158,46135,Anolis extremus,[],[],[],[],Buyer,10,[],[],LC,0
111,159,46135,Anolis leachii,[],[],[],[],Buyer,10,[],[],LC,0
112,160,46139,Anolis trinitatis,[],[],[],[],Seller,59,[],[],LC,0
113,161,46140,Anolis aeneus,[],[],[],[],Seller,67,[],[],LC,0
114,163,46147,Anolis wattsii,[],[],[],[],Buyer,68,[],[],LC,0
115,165,46148,Anolis marmoratus,[],[],[],[],Seller,59,51.1638175,10.4478313,LC,0
116,169,46162,Anolis roquet,[],[],[],[],[],37,51.1638175,10.4478313,LC,0
117,170,46166,Anolis marmoratus,[],[],[],[],Buyer,59,[],[],LC,0
118,171,46169,Anolis roquet,[],[],[],[],Buyer,52,[],[],LC,0
119,172,46171,Anolis roquet,[],[],[],[],Buyer,10,51.1638175,10.4478313,LC,0
120,173,46172,Anolis roquet,[],[],[],[],Seller,11,51.1638175,10.4478313,LC,0
121,174,46173,Anolis roquet,[],[],[],[],Seller,59,51.1638175,10.4478313,LC,0
122,175,46176,Anolis trinitatis,[],[],[],[],Buyer,64,[],[],LC,0
123,177,46179,Anolis oculatus,[],[],[],[],Buyer,67,51.1638175,10.4478313,NT,0
124,178,46179,Anolis sabanus,[],[],[],[],Buyer,67,51.1638175,10.4478313,NT,0
125,179,46179,Anolis bimaculatus,[],[],[],[],Buyer,67,51.1638175,10.4478313,LC,0
126,180,46182,Anolis roquet,[],[],[],[],Seller,69,[],[],LC,0
127,185,46200,Anolis roquet,[],[],[],[],Buyer,55,[],[],LC,0
128,186,46203,Anolis extremus,[],[],[],[],Buyer,61,[],[],LC,0
129,188,46209,Anolis marmoratus,[],[],[],[],Seller,70,[],[],LC,0
130,189,46213,Anolis gingivinus,[],[],[],[],Seller,71,39.7837304,-100.445882,LC,0
131,190,46213,Anolis wattsii,[],[],[],[],Seller,71,39.7837304,-100.445882,LC,0
132,191,46213,Anolis pogus,[],[],[],[],Seller,71,39.7837304,-100.445882,NT,0
133,192,46213,Anolis bimaculatus,[],[],[],[],Seller,71,39.7837304,-100.445882,LC,0
134,194,46213,Anolis roquet,[],[],[],[],Seller,71,39.7837304,-100.445882,LC,0
135,195,46214,Anolis extremus,[],[],[],[],[],72,[],[],LC,0
136,196,46215,Anolis oculatus,[],[],[],[],Seller,62,[],[],NT,0
137,198,46218,Anolis trinitatis,[],[],[],[],Buyer,40,[],[],LC,0
138,202,46230,Anolis roquet,[],[],[],[],Seller,66,[],[],LC,0
139,203,46231,Anolis roquet,[],[],[],[],Buyer,65,[],[],LC,0
140,204,46247,Anolis marmoratus,[],[],[],[],Buyer,73,51.1638175,10.4478313,LC,0
141,205,46247,Anolis roquet,[],[],[],[],Buyer,73,51.1638175,10.4478313,LC,0
142,206,46249,Anolis oculatus,[],[],[],[],Seller,33,[],[],NT,0
143,207,46249,Anolis marmoratus,[],[],[],[],Seller,33,[],[],LC,0
144,211,46260,Anolis roquet,[],[],[],[],Buyer,74,51.1638175,10.4478313,LC,0
145,212,46261,Anolis oculatus,[],[],[],[],Buyer,44,[],[],NT,0
146,213,46272,Anolis roquet,[],[],[],[],Seller,30,39.7837304,-100.445882,LC,0
147,214,46280,Anolis sabanus,[],[],[],[],Seller,40,[],[],NT,0
148,215,46285,Anolis oculatus,[],[],[],[],Seller,75,[],[],NT,0
149,216,46286,Anolis roquet,[],[],[],[],Seller,76,[],[],LC,0
150,223,46306,Anolis oculatus,[],[],[],[],Seller,40,51.1638175,10.4478313,NT,0
151,224,46306,Anolis roquet,[],[],[],[],Seller,40,51.1638175,10.4478313,LC,0
152,230,46334,Anolis marmoratus,[],[],[],[],Buyer,28,[],[],LC,0
153,232,46342,Anolis trinitatis,[],[],[],[],Buyer,28,[],[],LC,0
154,233,46346,Anolis roquet,[],[],[],[],Seller,54,[],[],LC,0
155,234,46348,Anolis oculatus,[],[],[],[],Seller,77,51.1638175,10.4478313,NT,0
156,235,46349,Anolis marmoratus,[],[],[],[],Buyer,26,51.1638175,10.4478313,LC,0
